Date : 2023-08-29 20:12:03
Directory : /Users/sbukhari/Sandbox/CProgram/ASTanalysis
Total : 4163 files,  332580 codes, 38887 comments, 22538 blanks, all 394005 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| JSON     |      1,260 |    226,620 |          0 |      1,260 |    227,880 |
| C        |      2,848 |    103,491 |     37,852 |     19,466 |    160,809 |
| Python   |         21 |      2,099 |        959 |      1,772 |      4,830 |
| C++      |         34 |        370 |         76 |         40 |        486 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                               |      4,163 |    332,580 |     38,887 |     22,538 |    394,005 |
| . (Files)                                                                                                                                                       |         21 |      2,099 |        959 |      1,772 |      4,830 |
| CodexUserStudyData                                                                                                                                              |      3,600 |    320,582 |     37,146 |     19,964 |    377,692 |
| CodexUserStudyData/Assisted                                                                                                                                     |        600 |     52,726 |      6,562 |      3,292 |     62,580 |
| CodexUserStudyData/Assisted/0640be89-ee5f-4846-8e14-40fdc574d7d3                                                                                                |         20 |      1,834 |        283 |        165 |      2,282 |
| CodexUserStudyData/Assisted/0640be89-ee5f-4846-8e14-40fdc574d7d3 (Files)                                                                                        |          8 |      1,469 |        101 |         66 |      1,636 |
| CodexUserStudyData/Assisted/0640be89-ee5f-4846-8e14-40fdc574d7d3/parts                                                                                          |         12 |        365 |        182 |         99 |        646 |
| CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739                                                                                                |         20 |      1,688 |        212 |        101 |      2,001 |
| CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739 (Files)                                                                                        |          8 |      1,396 |         72 |         32 |      1,500 |
| CodexUserStudyData/Assisted/0ed7147a-475a-438b-8eee-c19d9d380739/parts                                                                                          |         12 |        292 |        140 |         69 |        501 |
| CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf                                                                                                |         20 |      1,611 |        210 |        103 |      1,924 |
| CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf (Files)                                                                                        |          8 |      1,358 |         74 |         33 |      1,465 |
| CodexUserStudyData/Assisted/1f1c4c51-758b-4b08-88e3-e919cb5eaeaf/parts                                                                                          |         12 |        253 |        136 |         70 |        459 |
| CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91                                                                                                |         20 |      1,798 |        219 |        108 |      2,125 |
| CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91 (Files)                                                                                        |          8 |      1,442 |         73 |         29 |      1,544 |
| CodexUserStudyData/Assisted/212591de-3007-4e4d-a0df-67d22d6c5f91/parts                                                                                          |         12 |        356 |        146 |         79 |        581 |
| CodexUserStudyData/Assisted/21cb2508-2c4a-468d-a771-002ba7e0f211                                                                                                |         20 |      1,540 |        203 |         85 |      1,828 |
| CodexUserStudyData/Assisted/21cb2508-2c4a-468d-a771-002ba7e0f211 (Files)                                                                                        |          8 |      1,322 |         74 |         24 |      1,420 |
| CodexUserStudyData/Assisted/21cb2508-2c4a-468d-a771-002ba7e0f211/parts                                                                                          |         12 |        218 |        129 |         61 |        408 |
| CodexUserStudyData/Assisted/26a41023-c10e-41cc-b9e1-8103dc46f264                                                                                                |         20 |      1,880 |        220 |        122 |      2,222 |
| CodexUserStudyData/Assisted/26a41023-c10e-41cc-b9e1-8103dc46f264 (Files)                                                                                        |          8 |      1,492 |         71 |         44 |      1,607 |
| CodexUserStudyData/Assisted/26a41023-c10e-41cc-b9e1-8103dc46f264/parts                                                                                          |         12 |        388 |        149 |         78 |        615 |
| CodexUserStudyData/Assisted/3533dacf-349b-4581-bc32-6b9f015199c1                                                                                                |         20 |      1,988 |        207 |        141 |      2,336 |
| CodexUserStudyData/Assisted/3533dacf-349b-4581-bc32-6b9f015199c1 (Files)                                                                                        |          8 |      1,546 |         60 |         54 |      1,660 |
| CodexUserStudyData/Assisted/3533dacf-349b-4581-bc32-6b9f015199c1/parts                                                                                          |         12 |        442 |        147 |         87 |        676 |
| CodexUserStudyData/Assisted/36deba30-9345-480d-8221-387f5192f83d                                                                                                |         20 |      1,852 |        263 |         94 |      2,209 |
| CodexUserStudyData/Assisted/36deba30-9345-480d-8221-387f5192f83d (Files)                                                                                        |          8 |      1,478 |         90 |         32 |      1,600 |
| CodexUserStudyData/Assisted/36deba30-9345-480d-8221-387f5192f83d/parts                                                                                          |         12 |        374 |        173 |         62 |        609 |
| CodexUserStudyData/Assisted/3cff10bf-23d9-48f4-9f45-96a223a8e2de                                                                                                |         20 |      1,667 |        211 |        107 |      1,985 |
| CodexUserStudyData/Assisted/3cff10bf-23d9-48f4-9f45-96a223a8e2de (Files)                                                                                        |          8 |      1,419 |         85 |         39 |      1,543 |
| CodexUserStudyData/Assisted/3cff10bf-23d9-48f4-9f45-96a223a8e2de/parts                                                                                          |         12 |        248 |        126 |         68 |        442 |
| CodexUserStudyData/Assisted/514e6c1d-f935-474d-899e-96e27d5babd3                                                                                                |         20 |      1,588 |        230 |         92 |      1,910 |
| CodexUserStudyData/Assisted/514e6c1d-f935-474d-899e-96e27d5babd3 (Files)                                                                                        |          8 |      1,346 |         85 |         28 |      1,459 |
| CodexUserStudyData/Assisted/514e6c1d-f935-474d-899e-96e27d5babd3/parts                                                                                          |         12 |        242 |        145 |         64 |        451 |
| CodexUserStudyData/Assisted/5a790fe9-4950-4f24-903a-a7440f7f826f                                                                                                |         20 |      1,738 |        224 |         93 |      2,055 |
| CodexUserStudyData/Assisted/5a790fe9-4950-4f24-903a-a7440f7f826f (Files)                                                                                        |          8 |      1,421 |         76 |         28 |      1,525 |
| CodexUserStudyData/Assisted/5a790fe9-4950-4f24-903a-a7440f7f826f/parts                                                                                          |         12 |        317 |        148 |         65 |        530 |
| CodexUserStudyData/Assisted/6c026517-fcff-496b-a8d2-3b99e3714fa4                                                                                                |         20 |      1,541 |        217 |         93 |      1,851 |
| CodexUserStudyData/Assisted/6c026517-fcff-496b-a8d2-3b99e3714fa4 (Files)                                                                                        |          8 |      1,328 |         85 |         30 |      1,443 |
| CodexUserStudyData/Assisted/6c026517-fcff-496b-a8d2-3b99e3714fa4/parts                                                                                          |         12 |        213 |        132 |         63 |        408 |
| CodexUserStudyData/Assisted/7193a853-f8dd-423a-90be-39d0023d598e                                                                                                |         20 |      1,800 |        216 |        155 |      2,171 |
| CodexUserStudyData/Assisted/7193a853-f8dd-423a-90be-39d0023d598e (Files)                                                                                        |          8 |      1,452 |         72 |         59 |      1,583 |
| CodexUserStudyData/Assisted/7193a853-f8dd-423a-90be-39d0023d598e/parts                                                                                          |         12 |        348 |        144 |         96 |        588 |
| CodexUserStudyData/Assisted/74bd8618-cc17-42a6-8657-abebc4b6b500                                                                                                |         20 |      1,708 |        238 |        101 |      2,047 |
| CodexUserStudyData/Assisted/74bd8618-cc17-42a6-8657-abebc4b6b500 (Files)                                                                                        |          8 |      1,406 |         84 |         33 |      1,523 |
| CodexUserStudyData/Assisted/74bd8618-cc17-42a6-8657-abebc4b6b500/parts                                                                                          |         12 |        302 |        154 |         68 |        524 |
| CodexUserStudyData/Assisted/925cb076-503f-4a8e-b8d9-0aac9efe5955                                                                                                |         20 |      1,811 |        226 |        150 |      2,187 |
| CodexUserStudyData/Assisted/925cb076-503f-4a8e-b8d9-0aac9efe5955 (Files)                                                                                        |          8 |      1,465 |         73 |         69 |      1,607 |
| CodexUserStudyData/Assisted/925cb076-503f-4a8e-b8d9-0aac9efe5955/parts                                                                                          |         12 |        346 |        153 |         81 |        580 |
| CodexUserStudyData/Assisted/a3edd088-a9ab-4b80-ae98-01ffcfca615b                                                                                                |         20 |      1,626 |        224 |         97 |      1,947 |
| CodexUserStudyData/Assisted/a3edd088-a9ab-4b80-ae98-01ffcfca615b (Files)                                                                                        |          8 |      1,381 |         85 |         35 |      1,501 |
| CodexUserStudyData/Assisted/a3edd088-a9ab-4b80-ae98-01ffcfca615b/parts                                                                                          |         12 |        245 |        139 |         62 |        446 |
| CodexUserStudyData/Assisted/a4b3a969-44a1-4cea-87f5-86393eb85908                                                                                                |         20 |      1,791 |        221 |         99 |      2,111 |
| CodexUserStudyData/Assisted/a4b3a969-44a1-4cea-87f5-86393eb85908 (Files)                                                                                        |          8 |      1,448 |         76 |         33 |      1,557 |
| CodexUserStudyData/Assisted/a4b3a969-44a1-4cea-87f5-86393eb85908/parts                                                                                          |         12 |        343 |        145 |         66 |        554 |
| CodexUserStudyData/Assisted/a5ba06a2-cd4d-4aed-92ac-eeee80fe3e73                                                                                                |         20 |      1,866 |        263 |         99 |      2,228 |
| CodexUserStudyData/Assisted/a5ba06a2-cd4d-4aed-92ac-eeee80fe3e73 (Files)                                                                                        |          8 |      1,485 |         91 |         31 |      1,607 |
| CodexUserStudyData/Assisted/a5ba06a2-cd4d-4aed-92ac-eeee80fe3e73/parts                                                                                          |         12 |        381 |        172 |         68 |        621 |
| CodexUserStudyData/Assisted/a80d5d0f-724e-4a28-8af1-02ca84993567                                                                                                |         20 |      1,790 |        177 |        100 |      2,067 |
| CodexUserStudyData/Assisted/a80d5d0f-724e-4a28-8af1-02ca84993567 (Files)                                                                                        |          8 |      1,447 |         54 |         33 |      1,534 |
| CodexUserStudyData/Assisted/a80d5d0f-724e-4a28-8af1-02ca84993567/parts                                                                                          |         12 |        343 |        123 |         67 |        533 |
| CodexUserStudyData/Assisted/a974cab3-f095-4360-969e-9942edfdedc1                                                                                                |         20 |      1,766 |        150 |         82 |      1,998 |
| CodexUserStudyData/Assisted/a974cab3-f095-4360-969e-9942edfdedc1 (Files)                                                                                        |          8 |      1,435 |         31 |         20 |      1,486 |
| CodexUserStudyData/Assisted/a974cab3-f095-4360-969e-9942edfdedc1/parts                                                                                          |         12 |        331 |        119 |         62 |        512 |
| CodexUserStudyData/Assisted/b59feaf2-4c48-4ec0-8d00-3428362914a7                                                                                                |         20 |      1,579 |        205 |         85 |      1,869 |
| CodexUserStudyData/Assisted/b59feaf2-4c48-4ec0-8d00-3428362914a7 (Files)                                                                                        |          8 |      1,347 |         74 |         24 |      1,445 |
| CodexUserStudyData/Assisted/b59feaf2-4c48-4ec0-8d00-3428362914a7/parts                                                                                          |         12 |        232 |        131 |         61 |        424 |
